Date Created;Date Modified;Color Hex;Color Name;Note;RGB-R;RGB-G;RGB-B;HSV-H;HSV-S;HSV-V;HSL-H;HSL-S;HSL-L;Lab-L;Lab-a;Lab-b
11/23/2022 14:50:14;11/23/2022 14:50:14;#3C1F1D;Brown Pod;no note;60;31;29;3.8709676;0.51666665;0.23529412;3.870964;0.3483146;0.17450981;15.64167;13.790965;7.4971585
11/23/2022 14:50:14;11/23/2022 14:50:14;#BC9592;Rosy Brown;no note;188;149;146;4.2857146;0.22340426;0.7372549;4.2857194;0.23863634;0.654902;65.17086;14.136642;7.158065
11/23/2022 14:50:14;11/23/2022 14:50:14;#6F3935;Sanguine Brown;no note;111;57;53;4.137931;0.5225225;0.43529412;4.1379404;0.35365853;0.32156864;30.792217;23.315683;13.21742
11/23/2022 14:50:14;11/23/2022 14:50:14;#896D6B;Ferra;no note;137;109;107;4.0;0.2189781;0.5372549;3.999989;0.12295084;0.4784314;48.65811;10.749489;5.330932
11/23/2022 14:50:14;11/23/2022 14:50:14;#BC615A;Sunglo;no note;188;97;90;4.2857146;0.5212766;0.7372549;4.2857194;0.42241377;0.54509807;51.816574;35.806923;20.73573
11/23/2022 14:39:48;11/23/2022 14:39:48;#6F3935;Sanguine Brown;no note;111;57;53;4.137931;0.5225225;0.43529412;4.1379404;0.35365853;0.32156864;30.792217;23.315683;13.21742
